point_id,axis_position
49,-0.03458039090037346
48,-0.05335452780127525
417,0.180136039853096
351,0.1306353062391281
419,0.08964382112026215
248,0.05408143997192383
281,0.016742903739213943
275,-0.026926398277282715
274,-0.06193741038441658
465,0.13487926125526428
412,0.10798818618059158
399,0.07002440840005875
456,0.03729035705327988
363,0.004136731382459402
440,-0.029948335140943527
437,0.04541941359639168
420,0.013036794029176235
360,-0.01606331765651703
344,-0.03808508813381195
429,-0.007746492512524128
279,-0.03458039090037346
278,-0.05335452780127525
164,-0.14276382327079773
167,-0.14359812438488007
165,-0.1519344598054886
92,-0.17583976686000824
186,-0.20751133561134338
57,-0.2464163899421692
43,-0.2832496464252472
106,-0.3079753816127777
182,-0.3294277489185333
83,-0.3450518250465393
18,-0.348121702671051
200,-0.3957790732383728
201,-0.39234983921051025
194,-0.37443259358406067
204,-0.3459673523902893
202,-0.3046966791152954
212,-0.2549394369125366
216,-0.18091095983982086
206,-0.12874016165733337
203,-0.08866250514984131
207,-0.1518971025943756
205,-0.08702589571475983
98,-0.09703826159238815
97,-0.11399197578430176
393,-0.14359812438488007
391,-0.1519344598054886
322,-0.17583976686000824
410,-0.20751133561134338
287,-0.2464163899421692
273,-0.2832496464252472
335,-0.3079753816127777
406,-0.3294277489185333
313,-0.3450518250465393
421,-0.39234983921051025
418,-0.37443259358406067
424,-0.3459673523902893
422,-0.3046966791152954
432,-0.2549394369125366
436,-0.18091095983982086
426,-0.12874016165733337
423,-0.08866250514984131
427,-0.1518971025943756
425,-0.08702589571475983
327,-0.09703826159238815
326,-0.11399197578430176
0,-0.19283181428909302
37,-0.18847018480300903
39,-0.19818410277366638
40,-0.215290829539299
185,-0.22933261096477509
61,-0.2458297610282898
146,-0.26030462980270386
91,-0.2733486294746399
181,-0.28907227516174316
84,-0.29956430196762085
17,-0.3037121891975403
11,-0.2098374366760254
72,-0.20877347886562347
73,-0.21441595256328583
74,-0.2237606644630432
184,-0.23419511318206787
77,-0.25347477197647095
90,-0.26145708560943604
180,-0.27103644609451294
85,-0.2801996171474457
16,-0.28415074944496155
12,-0.22180959582328796
38,-0.22216401994228363
41,-0.22495907545089722
42,-0.2311195731163025
96,-0.2497476488351822
89,-0.25337690114974976
179,-0.25926724076271057
86,-0.2657831609249115
15,-0.26864054799079895
13,-0.2261194884777069
82,-0.22605076432228088
81,-0.22585994005203247
80,-0.22849225997924805
191,-0.232031911611557
78,-0.24207666516304016
95,-0.24905134737491608
88,-0.25039157271385193
178,-0.2524058222770691
87,-0.2557567059993744
14,-0.2571389675140381
267,-0.18847018480300903
269,-0.19818410277366638
270,-0.215290829539299
409,-0.22933261096477509
291,-0.2458297610282898
375,-0.26030462980270386
321,-0.2733486294746399
405,-0.28907227516174316
314,-0.29956430196762085
302,-0.20877347886562347
303,-0.21441595256328583
304,-0.2237606644630432
408,-0.23419511318206787
307,-0.25347477197647095
320,-0.26145708560943604
404,-0.27103644609451294
315,-0.2801996171474457
268,-0.22216401994228363
271,-0.22495907545089722
272,-0.2311195731163025
325,-0.2497476488351822
319,-0.25337690114974976
403,-0.25926724076271057
316,-0.2657831609249115
312,-0.22605076432228088
311,-0.22585994005203247
310,-0.22849225997924805
415,-0.232031911611557
308,-0.24207666516304016
324,-0.24905134737491608
318,-0.25039157271385193
402,-0.2524058222770691
